"bookingid","customerid","customername","bookingtype","bookingdate","status","classtype","instructor","timeslot","duration","price","facility","theme","servicename","servicetype","customeremail","customerphone"
"6272b4e7-a508-4ed7-bae0-21f7293287a8","eb297435-93d1-4e65-8dd4-6450922305cb","Customer 5","Class","2025-04-13","Pending","Art",NULL,"15:00:00",120,"161.14",NULL,NULL,"Art","Class","customer5@example.com","001-718-3794"
"fb5092f9-f7ac-4144-b477-0650c88134a4","22addcce-0a6c-4be1-b7ec-11320beb6739","Customer 12","Class","2025-04-20","Pending","Dance",NULL,"13:00:00",45,"186.42",NULL,NULL,"Dance","Class","customer12@example.com","001-573-4385"
"74b8102e-eef6-4774-a134-5a3d0d012c3d","6a0d66d3-24b1-4eb5-8f6f-b9893eb57701","Customer 14","Class","2025-06-04","Pending","Art","Amanda Davis","16:00:00",120,"83.48",NULL,NULL,"Art","Class","customer14@example.com","001-189-3447"
"e8e2f341-6a4f-43b5-aee5-0b35878474cd","489a4949-b903-4f4f-8bdb-17a0a7553d35","Customer 16","Class","2025-05-10","Confirmed","Art","Amanda Davis","10:00:00",90,"30.53",NULL,NULL,"Art","Class","customer16@example.com","001-705-1308"
"75c5e04f-5c54-4d1c-8913-e72008497171","cd524b61-1e48-45bc-99e9-72afe3290acf","Customer 19","Class","2025-05-29","Confirmed","Dance","Amanda Davis",NULL,NULL,"173.37",NULL,NULL,"Dance","Class","customer19@example.com","001-906-9695"
"90662fb0-58f0-41ed-b6cf-cedaea6bc8a1","9b2e9482-8e0d-40db-bc83-2da11216509c","Customer 22","Class","2025-05-20","Confirmed","Dance","Lisa Hensley","11:00:00",45,"162.42",NULL,NULL,"Dance","Class","customer22@example.com","001-182-1792"
"b15b65c4-2016-41ce-be0a-56b41ebaaf28","4934ba20-a4ef-4e8e-8a05-e4171467bea3","Customer 23","Class","2025-03-30","Pending","Art","James Howard","12:00:00",120,"116",NULL,NULL,"Art","Class","customer23@example.com","001-645-5445"
"9640d87f-9fcd-4c2b-b099-7f9f4b037ac8","9d8da602-394d-4e44-9022-304efb4774fd","Customer 26","Class","2025-05-19","Pending","Dance","James Howard","09:00:00",120,"74.15",NULL,NULL,"Dance","Birthday Party","customer26@example.com",NULL
"4fe3fc55-bb91-44dc-aef3-11a55c2dce53","a109b309-eee6-4bf1-b314-487febc058ea","Customer 28","Class","2025-04-26","Pending","Dance","Amanda Davis","13:00:00",120,"298.54",NULL,NULL,"Dance","Class","customer28@example.com","001-720-8174"
"f822f117-2c8c-4256-8aee-63b58117e355","80bd830d-ef9a-4627-8229-c5a313adef20","Customer 29","Class","2025-04-24","Pending","Art","James Howard","16:00:00",45,"276.61",NULL,NULL,"Art","Class","customer29@example.com","001-690-9240"
